variable,group,value
INTP,Romantic Comedy,2.661207779
ESTP,Thriller,10.14211886
ESTJ,Thriller,7.46124031
ISTJ,Thriller,8.171834625
ISFP,Thriller,6.782945736
ESFP,Thriller,6.427648579
ISFJ,Thriller,6.233850129
ISTP,Thriller,10.10981912
ESFJ,Thriller,4.263565891
ENTP,Thriller,6.072351421
INFP,Thriller,4.489664083
ENFP,Thriller,3.197674419
INFJ,Thriller,4.84496124
ENTJ,Thriller,5.749354005
INTJ,Thriller,6.233850129
ENFJ,Thriller,4.489664083
INTP,Thriller,5.329457364
