Wikipedia_movie_ID,title,Movie_genres,Movie_year_released,averageRating,numVotes,e_count,i_count,extro_proportion,number of characters,extroverted_bin,treatment,Propensity_score
18149943,courage mountain,"['Drama', 'War film', 'Family Drama', 'Childhood Drama', ""Children's/Family"", 'Family Film', 'Adventure', 'Family-Oriented Adventure']",-0.25063145927350544,5.7,-0.5640096808332942,0,1,0.0,1,,0,0.6331302956660837
1485962,the mask,"['Comedy', 'Romance Film', 'Action', 'Fantasy', 'Crime Fiction']",-0.008186246937664047,6.2,-0.5675082026450814,5,4,0.5555555555555556,9,"(0.526, 0.579]",1,0.6292049125003891
24570673,footloose,"['Comedy', 'Romance Film', 'Musical', 'Drama', 'Romantic drama', 'Remake']",1.0222059054896617,6.6,-0.5673745512500243,3,4,0.42857142857142855,7,"(0.421, 0.474]",0,0.612191375618315
23614710,despicable me,"['Comedy', 'Superhero movie', 'Family-Oriented Adventure', 'Fantasy', 'Computer Animation', 'Crime Fiction', ""Children's/Family"", 'Superhero', 'Family Film', 'Adventure', 'Animation']",0.9615946024057015,7.6,1.6764043782014262,12,8,0.6,20,"(0.579, 0.632]",1,0.5913305563413072
1765026,chocolat,"['Mystery', 'Drama', 'Romance Film']",0.355481571566098,7.3,-0.5509983244321528,2,1,0.6666666666666666,3,"(0.632, 0.684]",1,0.6230769057480714
255858,johnny english,"['Comedy', 'Action', 'Action/Adventure', 'Thriller', 'Parody', 'Comedy of Errors', 'Family Film', 'Adventure', 'Spy']",0.5373154808179791,6.2,0.1034100077711141,0,2,0.0,2,,0,0.6137831862823093
5670572,shoot 'em up,"['Comedy', 'Action', 'Action/Adventure', 'Thriller', 'Crime Fiction']",0.7797606931538205,6.6,0.03669830702073031,1,1,0.5,2,"(0.474, 0.526]",1,0.6103903554831241
1849258,house of wax,"['Slasher', 'Teen', 'Horror', 'Thriller']",0.6585380869858998,7.0,-0.48980170918956395,3,3,0.5,6,"(0.474, 0.526]",1,0.6174839975712152
1584998,black christmas,"['Mystery', 'Horror', 'Cult', 'Thriller', 'Indie', 'Slasher']",-1.220412308616871,7.1,-0.38828168187358897,9,8,0.5294117647058824,17,"(0.526, 0.579]",1,0.6471501498131954
165289,hercules,"['Costume drama', 'Comedy', ""Children's"", 'Fantasy', 'Music', 'Family Film', 'Animation', 'Adventure']",0.173647662314217,5.4,-0.5586950724180847,13,6,0.6842105263157895,19,"(0.684, 0.737]",1,0.6261406504904251
14969658,angel,"['Romance Film', 'Drama', 'Parody', 'Period piece', 'Film adaptation', 'Romantic drama', 'World cinema']",0.7797606931538205,7.3,-0.555389165852115,2,3,0.4,5,"(0.368, 0.421]",0,0.6161053144558863
23438736,easy a,"['Comedy', 'Romance Film', 'Romantic comedy', 'Teen', 'Black comedy']",0.9615946024057015,7.0,1.0392449378072857,3,3,0.5,6,"(0.474, 0.526]",1,0.597581758703283
12767159,hugo,"['Drama', 'Mystery', 'Adventure', 'Family Film']",1.0222059054896617,6.0,-0.5675160644918494,4,9,0.3076923076923077,13,"(0.263, 0.316]",0,0.6121927429251937
30582,the sixth sense,"['Horror', 'Thriller', 'Psychological thriller', 'Drama', 'Suspense', 'Supernatural', 'Childhood Drama']",0.29487026848213765,6.9,-0.5671426267703665,0,3,0.0,3,,0,0.6242288956700712
1452377,cry-baby,"['Comedy', 'Romance Film', 'Musical', 'Cult', 'Parody', 'Satire', 'Teen', 'Musical comedy']",-0.25063145927350544,7.4,-0.5675317881853856,2,2,0.5,4,"(0.474, 0.526]",1,0.6331635894973952
394792,jackie brown,"['Comedy', 'Action', 'Action/Adventure', 'Thriller', 'Drama', 'Indie', 'Blaxploitation', 'Crime Fiction', 'Crime Thriller']",0.173647662314217,7.5,0.8689730605046151,3,1,0.75,4,"(0.737, 0.789]",1,0.6124430792359811
380517,maverick,"['Costume drama', 'Comedy', 'Action', 'Action/Adventure', 'Thriller', 'Western', 'Drama', 'Comedy Western', 'Adventure', 'Buddy film']",-0.008186246937664047,6.3,-0.5614978207908986,1,0,1.0,1,"(0.947, 1.0]",1,0.629147842694702
1881015,the island,"['Adventure', 'Horror', 'Thriller', 'Psychological thriller', 'Slasher']",-0.8567444901131088,7.4,-0.5674806861813932,2,2,0.5,4,"(0.474, 0.526]",1,0.6429800232775761
73376,bringing up baby,"['Comedy', 'Screwball comedy', 'Romance Film', 'Romantic comedy']",-3.402419219639443,5.6,-0.5675082026450814,1,0,1.0,1,"(0.947, 1.0]",1,0.6828434172873026
20181491,planet of the apes,"['Action', 'Thriller', 'Science Fiction', 'Time travel', 'Adventure']",0.41609287465005834,8.0,0.1731642432207376,4,7,0.36363636363636365,11,"(0.316, 0.368]",0,0.6151248540683647
